title,summary,date,link
"Chutaço de Valverde no empate do Real Madrid, pintura de falta de Lo Celso e mais: os golaços da 17ª rodada de LALIGA",,6m,
"Com Vinicius Jr. na briga, Fifa confirma data para anúncio dos vencedores do prêmio The Best de 2024","A cerimônia acontecerá em jantar de gala em Doha, no Qatar, na véspera da decisão do Intercontinental de 2024, entre Real Madrid e Pachuca",37m,https://www.espn.com.br/futebol/
,,,
"'Não sou bom o suficiente', dispara Guardiola após derrota do City no clássico contra o United",Manchester City perdeu de virada para o rival por 2 a 1 no último domingo (15),1h,
Rodrygo brilhou com gol e assistência e foi eleito o Craque da Rodada,"Brasileiro foi o destaque da partida entre Rayo Vallecano e Real Madrid, no último sábado (14). Times empataram em 3 a 3",2h,https://www.espn.com.brhttp://www.espn.com.br/football/club/_/id/86
Palmeiras rejeita R$ 160 milhões de clube da Premier League por Vitor Reis e define condição para vender joia,Vitor Reis é uma das principais revelações do Palmeiras nos últimos anos e desperta interesse do mercado europeu há algum tempo,3h,https://www.espn.com.brhttp://www.espn.com.br/football/club/_/id/2029
Como 'efeito Messi' em rival do Palmeiras no Mundial fez até adversários ganharem mais dinheiro,Lionel Messi e o Inter Miami estão no mesmo grupo do Palmeiras no Mundial de Clubes de 2025,3h,https://www.espn.com.brhttp://www.espn.com.br/player/45843/lionel-messi
Pogba no Corinthians? Augusto Melo responde sobre o francês e diz o que vai definir reforços para 2025,"Pogba está suspenso do futebol desde agosto de 2023, quando testou positivo para testosterona depois de um jogo contra a Udinese, pela primeira rodada do Campeonato Italiano",4h,https://www.espn.com.br/futebol/club/_/id/874
Gustavo Gómez analisa grupo do Palmeiras no Mundial e projeta duelo com Messi e Suárez: 'Vai ficar para a história',O Palmeiras vai enfrentar o Inter Miami pela fase de grupos do Mundial de Clubes de 2025,5h,https://www.espn.com.br/futebol/palmeiras/artigo/_/id/14561300/gustavo-gomez-analisa-grupo-palmeiras-mundial-projeta-duelo-com-messi-suarez-vai-ficar-para-historia
"Gabigol, Dudu e mais 9: veja time de 'medalhões' que pode assinar com seu clube de graça em 2025","Liberados de Palmeiras e Flamengo, Dudu e Gabigol puxam a fila de jogadores renomados que já podem assinar contrato com outros clubes",5h,https://www.espn.com.br/futebol/artigo/_/id/14563344/gabigol-dudu-mais-9-time-medalhoes-pode-assinar-seu-clube-de-graca-2025
De 'estreia' de lesionado a reforço de seleção: como Palmeiras planeja novo ataque em 2025 após adeus de Dudu,Palmeiras deverá ter um ataque bastante reformulado para a próxima temporada,5h,https://www.espn.com.brhttp://www.espn.com.br/football/club/_/id/2029
